UMLS CUI,node name,node type,synonyms
C0852036,Pregnancy associated hypertension,EntryPoint,gestational hypertension
C0079924,oligohydramnios,Disease,
C0740948,decreased amniotic fluid index,Finding,
C0203425,fetal biophysical profile,Test,BPP
C0032051,placental insufficiency,Disease,uteroplacental insufficiency
C1314734,nonstress test,Test,
C5687966,antenatal fetal health surveillance,Treatment,fetal surveillance
C0011209,obstetric delivery,Treatment,delivery
C1319204,antepartum fetal status,Finding,
C0017504,gestational age,Finding,
C0262671,amnioinfusion,Treatment,
C0457245,variable fetal heart decelerations,Finding,variable decelerations
,oligohydramnios management,AlgorithmStep,
C0205360,Stable status,Finding,
C0443343,Unstable status,Finding,
,diagnostic,ErrorType,
,management,ErrorType,
,stability/urgency,ErrorType,
,execution,ErrorType,
,metacognitive,ErrorType,
C0013404,dyspnea,EntryPoint,"shortness of breath, SOB"
C0221045,high output heart failure,Disease,
C0085619,orthopnea,Finding,
C0003855,arteriovenous fistula,RiskFactor,AV fistula
C0242073,pulmonary congestion,Finding,
C2363749,hyperdynamic left ventricle,Finding,
C4038650,Doppler ultrasonography of arteriovenous fistula,Test,
C0558347,surgical revision,Treatment,
C0856365,arteriovenous fistula revision,Treatment,
C0240841,widened pulse pressure,Finding,
C5849517,pulmonary vascular congestion,Finding,
C0018801,heart failure,Disease,
C0239340,edema of lower extremity,Finding,pedal edema
C5979967,hyperkalemia,Finding,
C0038220,status epilepticus,Disease,
C0234533,generalized seizures,EntryPoint,
C0749696,tricyclic antidepressant poisoning,Disease,"TCA toxicity, TCA overdose"
C4537742,ECG: tall R wave in aVR,Finding,
C1623258,Electrocardiography,Test,"ECG, EKG"
C0074722,sodium bicarbonate,Treatment,
C4048284,benzodiazepine,Treatment,
C0031507,phenytoin,Treatment,
C1269683,Major Depressive Disorder,Disease,
C0872271,Sodium Channel Blockade,Complication,
C0235475,wide QRS complex,Finding,
C2676167,"seizures, refractory",Finding,refractory seizure
C0020649,Hypotension,Finding,
C0412555,Ultrasound scan - obstetric,Test,"obstetric ultrasound, prenatal ultrasound"
C0426037,Fetal Heart Finding,Finding,fetal heart tracing
C0015944,"Fetal Membranes, Premature Rupture",Finding,"Premature rupture of membranes, PROM"
C5447469,healthcare utilization,Finding,
C1800706,idiopathic pulmonary fibrosis,Disease,IPF
C0332468,honeycomb appearance,Finding,honeycombing
C0412612,high resolution ct of lungs,Test,high resolution ct of chest
C0298067,pirfenidone,Treatment,
C0523807,oxygen saturation measurement,Test,
C4031950,antifibrotic agents,Treatment,
